"","Titulo","Ubicacion","Matricula ficticia","Carrera","ISBN","language_reference","Instituto"
"1","bauhaus crisol de modernidad","BCC",179390,"NULL","8449312280","english","NULL"
"2","bauhaus crisol de modernidad","BCC",130361,"","8449312280","english",""
"3","bauhaus crisol de modernidad","BCC",138673,"NULL","8449312280","english","NULL"
"4","bauhaus crisol de modernidad","BCC",119710,"Licenciatura en Diseño Gráfico ","8449312280","english","IADA "
"5","bauhaus crisol de modernidad","BCC",254785,"NULL","8449312280","english","NULL"
"6","bauhaus crisol de modernidad","BCC",138442,"","8449312280","english",""
"7","bauhaus crisol de modernidad","BCC",179390,"NULL","9788449312281","english","NULL"
"8","bauhaus crisol de modernidad","BCC",130361,"","9788449312281","english",""
"9","bauhaus crisol de modernidad","BCC",138673,"NULL","9788449312281","english","NULL"
"10","bauhaus crisol de modernidad","BCC",119710,"Licenciatura en Diseño Gráfico ","9788449312281","english","IADA "
"11","bauhaus crisol de modernidad","BCC",254785,"NULL","9788449312281","english","NULL"
"12","bauhaus crisol de modernidad","BCC",138442,"","9788449312281","english",""
"13","statistics for engineers and scientists","BCC",119527,"Licenciatura en Nutrición","0071214925","english","ICB"
"14","statistics for engineers and scientists","BCC",254785,"NULL","0071214925","english","NULL"
"15","harry potter and the prisoner of azkaban","BCC",176290," Licenciatura en Educación","9780439136365","english"," ICSA"
"16","harry potter and the prisoner of azkaban","BCC",176290," Licenciatura en Educación","0439136369","english"," ICSA"
"17","formulation implementation and control of competitive strategy","BCC",912599,"NULL","0072946881","english","NULL"
"18","formulation implementation and control of competitive strategy","BCC",912599,"NULL","0072980087","english","NULL"
"19","formulation implementation and control of competitive strategy","BCC",912599,"NULL","0071111743","english","NULL"
"20","research in education a conceptual introduction","BCC",17861,"NULL","0321080874","english","NULL"
"21","research in education a conceptual introduction","BCC",18597,"NULL","0321080874","english","NULL"
"22","photographs then and now","BCC",201045," Licenciatura en Publicidad","0792272021","english"," IADA"
"23","photographs then and now","BCC",201045," Licenciatura en Publicidad","9780792272021","english"," IADA"
"24","photographs then and now","BCC",201045," Licenciatura en Publicidad","079227203","english"," IADA"
"25","photographs then and now","BCC",201045," Licenciatura en Publicidad","9780792272038","english"," IADA"
"26","bernini the sculptor of the roman baroque","BCC",126007," Licenciatura en Diseño Gráfico","0714837156","english"," IADA"
"27","bernini the sculptor of the roman baroque","BCC",126007," Licenciatura en Diseño Gráfico","9780714837154","english"," IADA"
"28","hacking y seguridad en internet","BCC",180694," Ingeniería Industrial y de Sistemas","9789701513224","english"," IIT"
"29","hacking y seguridad en internet","BCC",129421,"","9789701513224","english",""
"30","hacking y seguridad en internet","BCC",120273,"Licenciatura en Diseño Gráfico ","9789701513224","english","IADA "
"31","hacking y seguridad en internet","BCC",141607," Ingeniería de Software","9789701513224","english"," IIT"
"32","hacking y seguridad en internet","BCC",169754," Ingeniería en Mecatrónica","9789701513224","english"," IIT"
"33","hacking y seguridad en internet","BCC",913780,"NULL","9789701513224","english","NULL"
"34","hacking y seguridad en internet","BCC",125017,"NULL","9789701513224","english","NULL"
"35","hacking y seguridad en internet","BCC",254785,"Ingeniería en Sistemas Computacionales","9789701513224","english","IIT"
"36","hacking y seguridad en internet","BCC",147114,"  Licenciatura en Administración de Empresas","9789701513224","english","  ICSA"
"37","hacking y seguridad en internet","BCC",254785,"Ingeniería en Sistemas Computacionales","9789701513224","english","IIT"
"38","hacking y seguridad en internet","BCC",180694," Ingeniería Industrial y de Sistemas","9701513223","english"," IIT"
"39","hacking y seguridad en internet","BCC",129421,"","9701513223","english",""
"40","hacking y seguridad en internet","BCC",120273,"Licenciatura en Diseño Gráfico ","9701513223","english","IADA "
"41","hacking y seguridad en internet","BCC",141607," Ingeniería de Software","9701513223","english"," IIT"
"42","hacking y seguridad en internet","BCC",169754," Ingeniería en Mecatrónica","9701513223","english"," IIT"
"43","hacking y seguridad en internet","BCC",913780,"NULL","9701513223","english","NULL"
"44","hacking y seguridad en internet","BCC",125017,"NULL","9701513223","english","NULL"
"45","hacking y seguridad en internet","BCC",254785,"Ingeniería en Sistemas Computacionales","9701513223","english","IIT"
"46","hacking y seguridad en internet","BCC",147114,"  Licenciatura en Administración de Empresas","9701513223","english","  ICSA"
"47","hacking y seguridad en internet","BCC",254785,"Ingeniería en Sistemas Computacionales","9701513223","english","IIT"
"48","biochemistry","BCC",145673,"","8429174849","english",""
"49","biochemistry","BCC",127061,"NULL","8429174849","english","NULL"
"50","biochemistry","BCC",127061,"NULL","8429174849","english","NULL"
"51","biochemistry","BCC",127095,"","8429174849","english",""
"52","biochemistry","BCC",254785,"NULL","8429174849","english","NULL"
"53","biochemistry","BCC",127166," Licenciatura en Enfermería","8429174849","english"," ICB"
"54","biochemistry","BCC",913822,"NULL","8429174849","english","NULL"
"55","biochemistry","BCC",129748,"  Licenciatura en Químico Fármaco Biólogo","8429174849","english","  ICB"
"56","biochemistry","BCC",129748,"  Licenciatura en Químico Fármaco Biólogo","8429174849","english","  ICB"
"57","biochemistry","BCC",129748,"  Licenciatura en Químico Fármaco Biólogo","8429174849","english","  ICB"
"58","biochemistry","BCC",127123,"NULL","8429174849","english","NULL"
"59","biochemistry","BCC",129108," Licenciatura en Nutrición","8429174849","english"," ICB"
"60","biochemistry","BCC",127093,"  Licenciatura en Nutrición","8429174849","english","  ICB"
