"","Titulo","Ubicacion","Matricula ficticia","Carrera","ISBN","language_reference","Instituto","test"
"1","bauhaus crisol de modernidad","BCC",179390,"NULL","8449312280","english","NULL","IIT"
"2","bauhaus crisol de modernidad","BCC",130361,"","8449312280","english","",""
"3","bauhaus crisol de modernidad","BCC",138673,"NULL","8449312280","english","NULL","IIT"
"4","bauhaus crisol de modernidad","BCC",119710,"Licenciatura en Diseño Gráfico ","8449312280","english","IADA ","Licenciatura en Diseño Gráfico "
"5","bauhaus crisol de modernidad","BCC",254785,"NULL","8449312280","english","NULL","IIT"
"6","bauhaus crisol de modernidad","BCC",138442,"","8449312280","english","",""
"7","bauhaus crisol de modernidad","BCC",179390,"NULL","9788449312281","english","NULL","IIT"
"8","bauhaus crisol de modernidad","BCC",130361,"","9788449312281","english","",""
"9","bauhaus crisol de modernidad","BCC",138673,"NULL","9788449312281","english","NULL","IIT"
"10","bauhaus crisol de modernidad","BCC",119710,"Licenciatura en Diseño Gráfico ","9788449312281","english","IADA ","Licenciatura en Diseño Gráfico "
"11","bauhaus crisol de modernidad","BCC",254785,"NULL","9788449312281","english","NULL","IIT"
"12","bauhaus crisol de modernidad","BCC",138442,"","9788449312281","english","",""
"13","statistics for engineers and scientists","BCC",119527,"Licenciatura en Nutrición","0071214925","english","ICB","P. LIC. NUTRICION"
"14","statistics for engineers and scientists","BCC",254785,"NULL","0071214925","english","NULL","IIT"
"15","harry potter and the prisoner of azkaban","BCC",176290," Licenciatura en Educación","9780439136365","english"," ICSA"," Licenciatura en Educación"
"16","harry potter and the prisoner of azkaban","BCC",176290," Licenciatura en Educación","0439136369","english"," ICSA"," Licenciatura en Educación"
"17","formulation implementation and control of competitive strategy","BCC",912599,"NULL","0072946881","english","NULL","IIT"
"18","formulation implementation and control of competitive strategy","BCC",912599,"NULL","0072980087","english","NULL","IIT"
"19","formulation implementation and control of competitive strategy","BCC",912599,"NULL","0071111743","english","NULL","IIT"
"20","research in education a conceptual introduction","BCC",17861,"NULL","0321080874","english","NULL","IIT"
"21","research in education a conceptual introduction","BCC",18597,"NULL","0321080874","english","NULL","IIT"
"22","photographs then and now","BCC",201045," Licenciatura en Publicidad","0792272021","english"," IADA"," Licenciatura en Publicidad"
"23","photographs then and now","BCC",201045," Licenciatura en Publicidad","9780792272021","english"," IADA"," Licenciatura en Publicidad"
"24","photographs then and now","BCC",201045," Licenciatura en Publicidad","079227203","english"," IADA"," Licenciatura en Publicidad"
"25","photographs then and now","BCC",201045," Licenciatura en Publicidad","9780792272038","english"," IADA"," Licenciatura en Publicidad"
"26","bernini the sculptor of the roman baroque","BCC",126007," Licenciatura en Diseño Gráfico","0714837156","english"," IADA"," Licenciatura en Diseño Gráfico"
"27","bernini the sculptor of the roman baroque","BCC",126007," Licenciatura en Diseño Gráfico","9780714837154","english"," IADA"," Licenciatura en Diseño Gráfico"
"28","hacking y seguridad en internet","BCC",180694," Ingeniería Industrial y de Sistemas","9789701513224","english"," IIT"," Ingeniería Industrial y de Sistemas"
"29","hacking y seguridad en internet","BCC",129421,"","9789701513224","english","",""
"30","hacking y seguridad en internet","BCC",120273,"Licenciatura en Diseño Gráfico ","9789701513224","english","IADA ","Licenciatura en Diseño Gráfico "
"31","hacking y seguridad en internet","BCC",141607," Ingeniería de Software","9789701513224","english"," IIT"," Ingeniería de Software"
"32","hacking y seguridad en internet","BCC",169754," Ingeniería en Mecatrónica","9789701513224","english"," IIT"," Ingeniería en Mecatrónica"
"33","hacking y seguridad en internet","BCC",913780,"NULL","9789701513224","english","NULL","IIT"
"34","hacking y seguridad en internet","BCC",125017,"NULL","9789701513224","english","NULL","IIT"
"35","hacking y seguridad en internet","BCC",254785,"Ingeniería en Sistemas Computacionales","9789701513224","english","IIT","Ingeniería en Sistemas Computacionales"
"36","hacking y seguridad en internet","BCC",147114,"  Licenciatura en Administración de Empresas","9789701513224","english","  ICSA","  Licenciatura en Administración de Empresas"
"37","hacking y seguridad en internet","BCC",254785,"Ingeniería en Sistemas Computacionales","9789701513224","english","IIT","Ingeniería en Sistemas Computacionales"
"38","hacking y seguridad en internet","BCC",180694," Ingeniería Industrial y de Sistemas","9701513223","english"," IIT"," Ingeniería Industrial y de Sistemas"
"39","hacking y seguridad en internet","BCC",129421,"","9701513223","english","",""
"40","hacking y seguridad en internet","BCC",120273,"Licenciatura en Diseño Gráfico ","9701513223","english","IADA ","Licenciatura en Diseño Gráfico "
"41","hacking y seguridad en internet","BCC",141607," Ingeniería de Software","9701513223","english"," IIT"," Ingeniería de Software"
